full_address,TLA,LocalityName,class_lookup
"71 TINLINE TERRACE, Mt Lyford (Pte Road), Hurunui, New Zealand",058,Mt Lyford (Pte Road),Peri-urban/Uncertain
"12 GEORGE STREET, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"54 Essex Street, Weston, Oamaru, Weston, Waitaki (part), New Zealand",068,Weston,Urban
"5 Brittan Terrace, Lyttelton, Christchurch City, New Zealand",060,Lyttelton,Urban
"181 JACKS PASS ROAD, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"26 OAKDEN DRIVE, Darfield, Selwyn, New Zealand",062,Darfield,Urban
"5 TOTARA PEAK CRES, Omarama, Waitaki (part), New Zealand",068,Omarama,Peri-urban (disputed)
"14 Streamside Terrace, NA, Waimakariri, New Zealand",059,NA,Urban
"112 BEACH ROAD, NA, Kaikoura, New Zealand",054,NA,Urban
"47 Harris Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"4 Watlington Place, Watlington, Timaru, Watlington, Timaru, New Zealand",064,Watlington,Urban
"105 Merton Road, NA, Waimakariri, New Zealand",059,NA,Rural
"Westview Drive TINWALD, ASHBURTON, NA, Ashburton, New Zealand",063,NA,Peri-urban/Uncertain
"708 HAWARDEN WAIKARI ROAD, Hawarden, Hurunui, New Zealand",058,Hawarden,Rural
"15 Dunford Street, NA, Ashburton, New Zealand",063,NA,Urban
"998D Colombo Street, St Albans, Christchurch City, New Zealand",060,St Albans,Urban
"288 ALLANDALE ROAD, Hawarden, Hurunui, New Zealand",058,Hawarden,Rural
"23 PAINTERS ROAD, Kirwee, Selwyn, New Zealand",062,Kirwee,Rural
"366 Highbank Cairnbrae R, NA, Ashburton, New Zealand",063,NA,Rural
"0 McHenrys Road, Hakataramea Valley, Waimate, New Zealand",066,Hakataramea Valley,Rural
"23 Shands Road, Hornby, Christchurch City, New Zealand",060,Hornby,Urban
"403 Cairnbrae Road, NA, Ashburton, New Zealand",063,NA,Rural
"64A Fairfield Avenue, Addington, Christchurch City, New Zealand",060,Addington,Urban
"12 EMERSON LANE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"3 Harewood Road, NA, Waimakariri, New Zealand",059,NA,Urban
"228 PERYMANS ROAD, Lincoln, Selwyn, New Zealand",062,Lincoln,Peri-urban (disputed)
"44 CAIRNBRAE DRIVE, Prebbleton, Selwyn, New Zealand",062,Prebbleton,Urban
"24 Mehrtens Crescent, NA, Waimakariri, New Zealand",059,NA,Urban
"5 JACOB LANE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"5 ADAMITE DRIVE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"150 ASHWORTHS ROAD, Amberley, Hurunui, New Zealand",058,Amberley,Peri-urban (disputed)
"1/324 Wai-iti Road, Glenwood, Timaru, Glenwood, Timaru, New Zealand",064,Glenwood,Urban
"124 Queen Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"3727 Waimate Highway, Morven, Waimate, New Zealand",066,Morven,Rural
"22 STONEBROOK DRIVE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"7 Jane Street, NA, Ashburton, New Zealand",063,NA,Urban
"430 Mount Thomas Road, NA, Waimakariri, New Zealand",059,NA,Rural
"7 COUNTRY LANE, Leeston, Selwyn, New Zealand",062,Leeston,Urban
"14 FYFFE AVENUE, NA, Kaikoura, New Zealand",054,NA,Urban
"43 Halswell Junction Road, Halswell, Christchurch City, New Zealand",060,Halswell,Urban
"20 Globe Bay Drive, Templeton, Christchurch City, New Zealand",060,Templeton,Urban
"157 Bowalley Road, Herbert, Herbert, Waitaki (part), New Zealand",068,Herbert,Rural
"SCHOOLHOUSE ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"43 Ruataniwha Avenue, NA, Waimakariri, New Zealand",059,NA,Urban
"395 GLEN LYON ROAD, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"68 RIPPINGALE ROAD, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Peri-urban (disputed)
"2 Earlys Road, NA, Ashburton, New Zealand",063,NA,Rural
"4 DE HAVILLAND DRIVE, Pukaki, Mackenzie, New Zealand",065,Pukaki,Peri-urban/Uncertain
"22 Chertsey Kyle Road, NA, Ashburton, New Zealand",063,NA,Urban
"134 GLEN LYON ROAD, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"26 Golf Links Road, NA, Waimakariri, New Zealand",059,NA,Rural
"4928 HALDON ROAD, Tekapo, Mackenzie, New Zealand",065,Tekapo,Rural
"26 Semple Street, Kakanui, Oamaru, Kakanui, Waitaki (part), New Zealand",068,Kakanui,Rural
"143 TORQUAY STREET, NA, Kaikoura, New Zealand",054,NA,Urban
"109 Surveyors Road, NA, Ashburton, New Zealand",063,NA,Rural
"196 Chalmers Avenue, NA, Ashburton, New Zealand",063,NA,Urban
"17 Parsonage Road, Waimate, Waimate, New Zealand",066,Waimate,Urban
"Painstown Road, Waimate, Waimate, New Zealand",066,Waimate,Urban
"24 Frederick Busch Crescent, NA, Waimakariri, New Zealand",059,NA,Peri-urban/Uncertain
"1609 Thongcaster Road, NA, Waimakariri, New Zealand",059,NA,Rural
"178 VERDECO BOULEVARD, Lincoln, Selwyn, New Zealand",062,Lincoln,Urban
"8A Argyle Street, Marchwiel, Timaru, Marchwiel, Timaru, New Zealand",064,Marchwiel,Urban
"3A Juniper Place, Burnside, Christchurch City, New Zealand",060,Burnside,Urban
"34 Point Bush Road, Waimate, Waimate, New Zealand",066,Waimate,Urban
"10 Mackie Street, NA, Ashburton, New Zealand",063,NA,Urban
"2 Solway Street, Holmes Hill, Oamaru, Holmes Hill, Waitaki (part), New Zealand",068,Holmes Hill,Urban
"209 Point Bush Road, Waimate, Waimate, New Zealand",066,Waimate,Urban
"31 OLD MAIN NORTH ROAD, Leithfield, Hurunui, New Zealand",058,Leithfield,Peri-urban (disputed)
"4 Salkeld Place, NA, Waimakariri, New Zealand",059,NA,Urban
"13 Pratts Road, Maungati, Waimate, New Zealand",066,Maungati,Rural
"29 Colina Street, Avonhead, Christchurch City, New Zealand",060,Avonhead,Urban
"854 Chapmans Boundary Road, NA, Waimakariri, New Zealand",059,NA,Rural
"24 Glassey Drive, NA, Ashburton, New Zealand",063,NA,Urban
"1 Keebles Lane, Lyttelton, Christchurch City, New Zealand",060,Lyttelton,Urban
"12 Newnham Street, NA, Waimakariri, New Zealand",059,NA,Urban
"140 SOUTH BAY PARADE, NA, Kaikoura, New Zealand",054,NA,Peri-urban/Uncertain
"482 WAIPAPA ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"334A Marine Parade, South New Brighton, Christchurch City, New Zealand",060,South New Brighton,Urban
"2/89 Middlepark Road, Sockburn, Christchurch City, New Zealand",060,Sockburn,Urban
"7 Aln Street, Oamaru, Oamaru, Waitaki (part), New Zealand",068,Oamaru,Urban
"11 Methven Chertsey Roa, NA, Ashburton, New Zealand",063,NA,Urban
"11 PEGASUS CRESCENT, Motunau Beach, Hurunui, New Zealand",058,Motunau Beach,Peri-urban (disputed)
"8 Accrington Drive, Marshland, Christchurch City, New Zealand",060,Marshland,Urban
"239 Cannon Hill Crescent, St Andrews Hill, Christchurch City, New Zealand",060,St Andrews Hill,Urban
"3 Cherry Lane, Glenavy, Waimate, New Zealand",066,Glenavy,Rural
"6 FRY PLACE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"14 FYFFE AVENUE, NA, Kaikoura, New Zealand",054,NA,Urban
"0 Morven Glenavy Road, Morven, Waimate, New Zealand",066,Morven,Rural
"191 CROFTS ROAD, Omihi, Hurunui, New Zealand",058,Omihi,Rural
"11 Gisele Crescent, Halswell, Christchurch City, New Zealand",060,Halswell,Urban
"4A Konini Street, Riccarton, Christchurch City, New Zealand",060,Riccarton,Urban
"9 SUTHERLAND RD, Omarama, Waitaki (part), New Zealand",068,Omarama,Peri-urban (disputed)
"7 DIANE PLACE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"4 WESTBURN PLACE, Prebbleton, Selwyn, New Zealand",062,Prebbleton,Urban
"9 WESTON WAY, Lincoln, Selwyn, New Zealand",062,Lincoln,Urban
"116 SOUTH BAY PARADE, NA, Kaikoura, New Zealand",054,NA,Peri-urban/Uncertain
"13 TERRACE ROAD, Leithfield, Hurunui, New Zealand",058,Leithfield,Peri-urban (disputed)
"1 GRANDVUE DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"39 D'ARCHIAC DRIVE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Peri-urban (disputed)
"30 TOTARA DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"DEAL STREET, NA, Kaikoura, New Zealand",054,NA,Urban
"6 SUNSET PLACE, Otematata, Waitaki (part), New Zealand",068,Otematata,Peri-urban (disputed)
"2118 OMIHI ROAD, Omihi, Hurunui, New Zealand",058,Omihi,Rural
"21 MOUNT COOK ROAD, Fairlie, Mackenzie, New Zealand",065,Fairlie,Peri-urban (disputed)
"1 Holmes Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"78 Le Cren Street, Seaview, Timaru, Seaview, Timaru, New Zealand",064,Seaview,Urban
"140 Queen Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"NA, Hampden, Waitaki (part), New Zealand",068,Hampden,Urban
"109 West Street, NA, Ashburton, New Zealand",063,NA,Rural
"32 SEFTON STREET, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"Pit Road West, RD 22, Geraldine, Rangitata, Timaru, New Zealand",064,Rangitata,Peri-urban/Uncertain
"15 GRETA VALLEY WALKWAY ROAD, Greta Valley, Hurunui, New Zealand",058,Greta Valley,Peri-urban/Uncertain
"B4/101 Caledonian Road, St Albans, Christchurch City, New Zealand",060,St Albans,Urban
"70 RIVER ROAD, Hanmer Forest Park, Hurunui, New Zealand",058,Hanmer Forest Park,Rural
"12 Balmoral Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"4 WHITBY PLACE, NA, Kaikoura, New Zealand",054,NA,Urban
"7 UNWIN PLACE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"18 SCARBOROUGH TERRACE, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"4 DOVER STREET, Leithfield, Hurunui, New Zealand",058,Leithfield,Peri-urban (disputed)
"25 Manchester Street, NA, Ashburton, New Zealand",063,NA,Urban
"6 PARSONS LANE, Otematata, Waitaki (part), New Zealand",068,Otematata,Peri-urban (disputed)
"3/38 Shirley Road, Richmond, Christchurch City, New Zealand",060,Richmond,Urban
"101 Buttericks Road, NA, Ashburton, New Zealand",063,NA,Rural
"52 BIRCHS ROAD, Prebbleton, Selwyn, New Zealand",062,Prebbleton,Urban
"3 DUNLOP CRESCENT, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"92 Gordons Valley Road, Maungati, Waimate, New Zealand",066,Maungati,Rural
"80 GLENMARK DRIVE, Waipara, Hurunui, New Zealand",058,Waipara,Peri-urban (disputed)
"8 PERCIVAL CLOSE, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"426A Thames Highway, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"35 Rother Street, Oamaru, Oamaru, Waitaki (part), New Zealand",068,Oamaru,Urban
"0 HAMILTON DRIVE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Rural
"60 Till Street, South Hill, Oamaru, South Hill, Waitaki (part), New Zealand",068,South Hill,Urban
"10 Chilton Drive, Mairehau, Christchurch City, New Zealand",060,Mairehau,Urban
"69 TEKAPO DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"140 Parsonage Road, Waimate, Waimate, New Zealand",066,Waimate,Peri-urban (disputed)
"6 Sudbury Street, NA, Ashburton, New Zealand",063,NA,Urban
"50 King Street, Kensington, Timaru, Kensington, Timaru, New Zealand",064,Kensington,Urban
"444A Thames Highway, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"20 CLARENCE STREET, Waiau, Hurunui, New Zealand",058,Waiau,Peri-urban (disputed)
"7 Kowhai Street, NA, Waimakariri, New Zealand",059,NA,Urban
"53 BANGOR ROAD, Darfield, Selwyn, New Zealand",062,Darfield,Urban
"3 Guise Street, Temuka, Temuka, Timaru, New Zealand",064,Temuka,Urban
"15 JOLLIES PASS ROAD, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"25 Range Street, NA, Ashburton, New Zealand",063,NA,Rural
"198 WAITAKI DR, Otematata, Waitaki (part), New Zealand",068,Otematata,Peri-urban (disputed)
"4/25 Peverel Street, Riccarton, Christchurch City, New Zealand",060,Riccarton,Urban
"304 Waikakahi Valley Road, Ikawai, Waimate, New Zealand",066,Ikawai,Rural
"4 Maryburn Place, Gleniti, Timaru, Gleniti, Timaru, New Zealand",064,Gleniti,Urban
"16 Croucher Street, NA, Waimakariri, New Zealand",059,NA,Peri-urban/Uncertain
"1/14 Church Square, Addington, Christchurch City, New Zealand",060,Addington,Urban
"32 PRINCES STREET, Waikari, Hurunui, New Zealand",058,Waikari,Rural
"68 CHALET CRESCENT, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"20 Durells Crescent, NA, Waimakariri, New Zealand",059,NA,Urban
"25 CAMERON CRESCENT, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"304 INLAND KAIKOURA ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"10 Hodges Road, Waimate, Waimate, New Zealand",066,Waimate,Peri-urban (disputed)
"30 CONICAL HILL ROAD, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"25 Rocking Horse Road, Southshore, Christchurch City, New Zealand",060,Southshore,Urban
"STATE HIGHWAY 1, NA, Kaikoura, New Zealand",054,NA,Peri-urban/Uncertain
"79 Coonoor Road, Watlington, Timaru, Watlington, Timaru, New Zealand",064,Watlington,Urban
"109 Grafton Street, Waltham, Christchurch City, New Zealand",060,Waltham,Urban
"64 SISTERS ROAD, Parnassus, Hurunui, New Zealand",058,Parnassus,Rural
"95 Otipua Road, Watlington, Timaru, Watlington, Timaru, New Zealand",064,Watlington,Urban
"827 Hilderthorpe-Pukeuri Road, Hilderthorpe, Waitaki Bridge, Hilderthorpe, Waitaki (part), New Zealand",068,Hilderthorpe,Peri-urban/Uncertain
"240 DUNNS CROSSING ROAD, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"126 ESPLANADE, NA, Kaikoura, New Zealand",054,NA,Urban
"3 Burnett Street, Oceanview, Timaru, Oceanview, Timaru, New Zealand",064,Oceanview,Urban
"62 TRENTHAM ROAD, Ashwick Flat, Mackenzie, New Zealand",065,Ashwick Flat,Rural
"1021 BEALEY ROAD, Charing Cross, Selwyn, New Zealand",062,Charing Cross,Rural
"23 STATION BAY RISE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Rural
"96 DAVAAR ROAD, Greta Valley, Hurunui, New Zealand",058,Greta Valley,Rural
"67 Batten Grove, NA, Waimakariri, New Zealand",059,NA,Urban
"2 Tactician Lane, NA, Ashburton, New Zealand",063,NA,Peri-urban/Uncertain
"8 Olivea Place, NA, Waimakariri, New Zealand",059,NA,Urban
"208 Woodbury Road, RD 21, Geraldine, Orari Bridge, Timaru, New Zealand",064,Orari Bridge,Rural
"93 TORQUAY STREET, NA, Kaikoura, New Zealand",054,NA,Urban
"2412 Waimate Highway, Makikihi, Waimate, New Zealand",066,Makikihi,Rural
"39 High Street, NA, Waimakariri, New Zealand",059,NA,Urban
"23 Opie Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"130 McLeans Island Road, Harewood, Christchurch City, New Zealand",060,Harewood,Peri-urban (disputed)
"36 Doncaster Street, Washdyke, Timaru, Washdyke, Timaru, New Zealand",064,Washdyke,Urban
"33 Paul Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"14 ACHERON HEIGHTS, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"24 Caledonian Road, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"SCARBOROUGH STREET, NA, Kaikoura, New Zealand",054,NA,Peri-urban/Uncertain
"161 Hurstlea Road, Hakataramea Valley, Waimate, New Zealand",066,Hakataramea Valley,Rural
"HAYMAKERS CRESCENT, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"961 LAKE SUMNER ROAD, Hawarden, Hurunui, New Zealand",058,Hawarden,Rural
"5 Cawton Grove, NA, Ashburton, New Zealand",063,NA,Urban
"1 Witham Street, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"13 OMAHAU CRESCENT, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"278 GRANGE ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"40 IRISHMAN DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"57 OSBORNE ROAD, Amberley, Hurunui, New Zealand",058,Amberley,Urban
"3 LOWRY STREET, Waiau, Hurunui, New Zealand",058,Waiau,Peri-urban (disputed)
"87D Bordesley Street, Linwood, Christchurch City, New Zealand",060,Linwood,Urban
"118 Lindsays Road, Waimate, Waimate, New Zealand",066,Waimate,Peri-urban (disputed)
"287 Wai-iti Road, Glenwood, Timaru, Glenwood, Timaru, New Zealand",064,Glenwood,Urban
"62 Acacia Drive, RD 3, Timaru, Levels, Timaru, New Zealand",064,Levels,Urban
"31 Lyall Road, Saint Andrews, Waimate, New Zealand",066,Saint Andrews,Peri-urban (disputed)
"POSTMANS ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"4 LEESTON DUNSANDEL ROAD, Leeston, Selwyn, New Zealand",062,Leeston,Urban
"538 MIDDLE ROAD, Fairlie, Mackenzie, New Zealand",065,Fairlie,Rural
"74 Aitchison Road, Awamoko, Oamaru, Awamoko, Waitaki (part), New Zealand",068,Awamoko,Peri-urban/Uncertain
"1613 CLAYTON ROAD, Fairlie, Mackenzie, New Zealand",065,Fairlie,Rural
"6 GORDON STREET, Southbridge, Selwyn, New Zealand",062,Southbridge,Peri-urban (disputed)
"20 Queens Crescent, Oamaru, Oamaru, Waitaki (part), New Zealand",068,Oamaru,Urban
"43 Peel Street, RD 22, Geraldine, Arundel, Timaru, New Zealand",064,Arundel,Urban
"2 WRIGHTS ROAD, Sheffield, Selwyn, New Zealand",062,Sheffield,Urban
"123 Otipua Road, Watlington, Timaru, Watlington, Timaru, New Zealand",064,Watlington,Urban
"20 Addinell Lane, Waimate, Waimate, New Zealand",066,Waimate,Peri-urban (disputed)
"3 Douglas Street, NA, Waimakariri, New Zealand",059,NA,Urban
"80 White Street, NA, Waimakariri, New Zealand",059,NA,Urban
"70 ANDREW DON DRIVE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Rural
"Carters Road ASHBURTON, NA, Ashburton, New Zealand",063,NA,Peri-urban/Uncertain
"28 Edward Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"163 KEKERENGU VALLEY ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"1608 WEST COAST ROAD, Kirwee, Selwyn, New Zealand",062,Kirwee,Rural
"229 Molloys Road, Waimate, Waimate, New Zealand",066,Waimate,Peri-urban (disputed)
"2 Dave Jamieson Lane, Addington, Christchurch City, New Zealand",060,Addington,Urban
"15A Champion Street, St Albans, Christchurch City, New Zealand",060,St Albans,Urban
"15 LONGORE WAY, Springston, Selwyn, New Zealand",062,Springston,Peri-urban (disputed)
"273-309 INLAND KAIKOURA ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"16 NORTH WEST ARCH, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"16 ROCHESTER CRESCENT, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"NA, Glenpark, Waitaki (part), New Zealand",068,Glenpark,Peri-urban/Uncertain
"6 LANNER DRIVE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"11A Oldham Crescent, Oaklands, Christchurch City, New Zealand",060,Oaklands,Urban
"15 GODLEY STREET, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"13 OHAU ROAD, Twizel, Mackenzie, New Zealand",065,Twizel,Peri-urban (disputed)
"366 Lower Hook Road, Makikihi, Waimate, New Zealand",066,Makikihi,Rural
"76 SHEARWATER DRIVE, NA, Kaikoura, New Zealand",054,NA,Urban
"121 Harrison Street, NA, Ashburton, New Zealand",063,NA,Urban
"10 TE KANAWA LANE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"419 SCHOOLHOUSE ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"34 Rose Street, Spreydon, Christchurch City, New Zealand",060,Spreydon,Urban
"6 Bezar Green, Oaklands, Christchurch City, New Zealand",060,Oaklands,Urban
"24 Meadowstone Street, Gleniti, Timaru, Gleniti, Timaru, New Zealand",064,Gleniti,Urban
"34 ALBURY-FAIRLIE ROAD, Fairlie, Mackenzie, New Zealand",065,Fairlie,Rural
"258 FRASER ROAD, Albury, Mackenzie, New Zealand",065,Albury,Rural
"12 Nore Street, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"5 LUDLEY DRIVE, NA, Kaikoura, New Zealand",054,NA,Peri-urban/Uncertain
"10A TEMPLE DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"38 Till Street, South Hill, Oamaru, South Hill, Waitaki (part), New Zealand",068,South Hill,Urban
"141 Garrymere Road, NA, Waimakariri, New Zealand",059,NA,Rural
"348 Mayfield Valetta Roa, NA, Ashburton, New Zealand",063,NA,Rural
"2/49 Marshland Road, Shirley, Christchurch City, New Zealand",060,Shirley,Urban
"0 Manchester Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"9 Rosebery Street, Spreydon, Christchurch City, New Zealand",060,Spreydon,Urban
"222 Raddens Road, NA, Waimakariri, New Zealand",059,NA,Rural
"123 Albert Street ASHBURTON, NA, Ashburton, New Zealand",063,NA,Peri-urban/Uncertain
"90 Warden Street, Richmond, Christchurch City, New Zealand",060,Richmond,Urban
"8 Saul Schrives Place, Waimate, Waimate, New Zealand",066,Waimate,Urban
"301 MUNRO ROAD, Cheviot, Hurunui, New Zealand",058,Cheviot,Rural
"23 PARNASSUS STREET, Waiau, Hurunui, New Zealand",058,Waiau,Peri-urban (disputed)
"155 Marshmans Road, NA, Waimakariri, New Zealand",059,NA,Rural
"1 Handley Crescent, Hornby, Christchurch City, New Zealand",060,Hornby,Urban
"135 IVERACHS ROAD, Waiau, Hurunui, New Zealand",058,Waiau,Rural
"3 Simmons Street, Redruth, Timaru, Redruth, Timaru, New Zealand",064,Redruth,Urban
"15 King Street, NA, Ashburton, New Zealand",063,NA,Urban
"358 Mill Road, NA, Waimakariri, New Zealand",059,NA,Rural
"24 Dunlops Road, NA, Waimakariri, New Zealand",059,NA,Rural
"11 Bush Street, NA, Waimakariri, New Zealand",059,NA,Urban
"45 McKenzie Street, Geraldine, Geraldine, Timaru, New Zealand",064,Geraldine,Urban
"50 OMAHAU CRESCENT, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
